사고지역관리번호,사고년도,사고유형구분,위치코드,시도시군구명,사고지역위치명,발생건수,사상자수,사망자수,중상자수,경상자수,부상자수,위도,경도,,
2013097,2012,보행어린이,11260001,서울특별시 중랑구1,서울특별시 중랑구 중화동(태능시장 부근),3,3,0,0,2,1,37.59809991,127.0769334,,
2013097,2012,보행어린이,11260002,서울특별시 중랑구2,서울특별시 중랑구 중화동(성은교회앞 부근),3,3,0,1,2,0,37.60301599,127.0772234,,
2013097,2012,보행어린이,11260003,서울특별시 중랑구3,서울특별시 중랑구 묵동(브라운스톤태릉아파트(102동) 부근),3,3,0,1,2,0,37.6180591,127.0829619,,
2013097,2012,보행어린이,11290001,서울특별시 성북구1,서울특별시 성북구 종암동(종암동 근린생활시설 부근),4,5,0,2,3,0,37.5991471,127.0339153,,
2013097,2012,보행어린이,11290002,서울특별시 성북구2,서울특별시 성북구 석관동(석관초등학교 부근),4,4,0,3,1,0,37.61151842,127.0601408,,
2013097,2012,보행어린이,11320001,서울특별시 도봉구1,서울특별시 도봉구 쌍문동(쌍문3파출소 부근),4,4,0,0,4,0,37.64838966,127.0252199,,
2013097,2012,보행어린이,11350001,서울특별시 노원구1,서울특별시 노원구 공릉동(공릉역 부근),3,4,0,1,3,0,37.6267563,127.0751945,,
2013097,2012,보행어린이,11380001,서울특별시 은평구1,서울특별시 은평구 녹번동(서운빌딩 부근),3,3,0,1,1,1,37.60272758,126.9270893,,
2013097,2012,보행어린이,11440001,서울특별시 마포구1,서울특별시 마포구 용강동(신석초등교앞_대흥로_진입 부근),3,3,0,1,1,1,37.54453203,126.9375911,,
2013097,2012,보행어린이,11440002,서울특별시 마포구2,서울특별시 마포구 망원동(동교초교 부근),4,4,0,2,2,0,37.55749038,126.9030265,,
2013097,2012,보행어린이,11470001,서울특별시 양천구1,서울특별시 양천구 목동(국민건강보험공단양천지사 부근),3,3,0,0,3,0,37.53582399,126.8774899,,
2013097,2012,보행어린이,11470002,서울특별시 양천구2,서울특별시 양천구 목동(강서고등학교 부근),4,4,0,0,3,1,37.53646723,126.8687405,,
2013097,2012,보행어린이,11470003,서울특별시 양천구3,서울특별시 양천구 신월동(신길제1동하나은행 부근),4,4,0,1,3,0,37.53051928,126.8373105,,
2013097,2012,보행어린이,11500001,서울특별시 강서구1,서울특별시 강서구 화곡동(신정초교앞사거리 부근),5,5,0,1,4,0,37.53161252,126.8546391,,
2013097,2012,보행어린이,11530001,서울특별시 구로구1,서울특별시 구로구 오류동(오류1동새마을금고도서관 부근),3,4,0,1,2,1,37.49729456,126.8423858,,
2013097,2012,보행어린이,11530002,서울특별시 구로구2,서울특별시 구로구 오류동(오남중학교 부근),3,3,0,3,0,0,37.48796841,126.8378258,,
2013097,2012,보행어린이,11530003,서울특별시 구로구3,서울특별시 구로구 개봉동(개봉고가차도(남측) 부근),4,4,0,2,2,0,37.49119353,126.8559377,,
2013097,2012,보행어린이,11545001,서울특별시 금천구1,서울특별시 금천구 독산동(시흥4동사거리 부근),4,4,0,0,4,0,37.46401808,126.9048954,,
2013097,2012,보행어린이,11545002,서울특별시 금천구2,서울특별시 금천구 시흥동(은행나무오거리 부근),4,6,0,1,5,0,37.45112497,126.908656,,
2013097,2012,보행어린이,11560001,서울특별시 영등포구1,서울특별시 영등포구 신길동(대영고등학교 부근),3,3,0,0,2,1,37.50381834,126.9055294,,
2013097,2012,보행어린이,11590001,서울특별시 동작구1,서울특별시 동작구 상도동(상도동다빈모1프라자 부근),3,3,0,1,2,0,37.49894481,126.9351841,,
2013097,2012,보행어린이,11620001,서울특별시 관악구1,서울특별시 관악구 신림동(신성교(남단) 부근),3,3,0,0,3,0,37.47004126,126.9371166,,
2013097,2012,보행어린이,11620002,서울특별시 관악구2,서울특별시 관악구 봉천동(대주빌딩 부근),3,3,0,2,1,0,37.47985565,126.9588876,,
2013097,2012,보행어린이,11710001,서울특별시 송파구1,서울특별시 송파구 송파동(청원빌딩 부근),3,3,0,0,2,1,37.50946704,127.110134,,
2013097,2012,보행어린이,11710002,서울특별시 송파구2,서울특별시 송파구 송파동(송파여성문화회관 부근),3,3,0,0,3,0,37.50470486,127.110024,,
2013097,2012,보행어린이,11710003,서울특별시 송파구3,서울특별시 송파구 마천동(거여삼거리 부근),3,3,0,2,1,0,37.49420693,127.1523954,,
2013097,2012,보행어린이,11710004,서울특별시 송파구4,서울특별시 송파구 문정동(에코타워 부근),4,4,0,1,2,1,37.48841642,127.1283839,,
2013097,2012,보행어린이,11710005,서울특별시 송파구5,서울특별시 송파구 가락동(가락대림사거리 부근),4,6,0,2,4,0,37.49846475,127.1198424,,
2013097,2012,보행어린이,11740001,서울특별시 강동구1,서울특별시 강동구 명일동(삼환아파트 부근),3,3,0,1,2,0,37.54856954,127.1526232,,
2013097,2012,보행어린이,26110001,부산광역시 중구1,부산광역시 중구 대청동1가(대청사거리 부근),3,3,0,2,1,0,35.10297638,129.0274047,,
2013097,2012,보행어린이,26200001,부산광역시 영도구1,부산광역시 영도구 청학동(동성알미늄샤시 부근),3,3,0,2,1,0,35.0924085,129.0653011,,
2013097,2012,보행어린이,26260001,부산광역시 동래구1,부산광역시 동래구 복천동(대명아카데미 부근),3,3,0,2,1,0,35.20313235,129.0906603,,
2013097,2012,보행어린이,26290001,부산광역시 남구1,부산광역시 남구 용호동(LG메트로시티 부근),3,3,0,1,2,0,35.1293528,129.1130587,,
2013097,2012,보행어린이,26320001,부산광역시 북구1,부산광역시 북구 화명동(롯데드림어린이집 부근),3,3,0,1,2,0,35.2361141,129.0136308,,
2013097,2012,보행어린이,26320002,부산광역시 북구2,부산광역시 북구 구포동(구포지구대 부근),4,4,1,1,2,0,35.19879454,129.0064638,,
2013097,2012,보행어린이,26350001,부산광역시 해운대구1,부산광역시 해운대구 반송동(종근당약국 부근),4,4,0,1,3,0,35.23006215,129.158685,,
2013097,2012,보행어린이,26350002,부산광역시 해운대구2,부산광역시 해운대구 재송동(세현빌라 부근),4,6,0,1,5,0,35.1871376,129.1274022,,
2013097,2012,보행어린이,26410001,부산광역시 금정구1,부산광역시 금정구 서동(축산알뜰마트 부근),3,3,0,0,3,0,35.21826841,129.0956607,,
2013097,2012,보행어린이,26410002,부산광역시 금정구2,부산광역시 금정구 남산동(예 플라워 부근),3,3,0,1,1,1,35.26256535,129.0882047,,
2013097,2012,보행어린이,26410003,부산광역시 금정구3,부산광역시 금정구 부곡동(부산정보관광고B 부근),3,3,0,1,2,0,35.22313726,129.0915335,,
2013097,2012,보행어린이,26470001,부산광역시 연제구1,부산광역시 연제구 거제동(창신카클리닉 부근),3,3,0,1,1,1,35.19303529,129.0667304,,
