2015년 월별 본부별 누적손익 비율
시계열 목표치
손익과 지출의 상관관계
2018년 월별 손익
2018년 본부별 누적손익 비율
연도별 목표치
목표액과 지출의 상관관계
2017년 월별 손익
올해 월별 손익
본부별 지역갯수
매년 2월 손익과 누적손익의 상관관계
목표액과 매출의 상관관계
연도별 판매처 비율
2019년 판매일별 매출
2016년 판매처별 매출
금융사업본부의 판매처별 매출
본부별 누적손익
2018-19년 본부별 판매일에 따른 매출
본부별 판매일에 따른 누적손익
판매일별 누적손익과 지출
연도별 목표치 대비 매출
올해 본부별 목표치 대비 매출
